title,author,price,publisher,page_count,generes,ISBN
Total Control,David Baldacci,41.82,Pan Macmillan,624,"Fiction , Mystery , Detective , General",9780330000000 
Antiques Knock-Off,Barbara Allan,73.67,Kensington Publishing Corp.,240,"Fiction , Mystery , Detective , Amateur Sleuth",9780760000000 
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,51.16,Hachette UK,672,"Fiction , Fantasy , General",9780580000000 
Shall We Tell the President?,Jeffrey Archer,41.82,Pan Macmillan,200,General,9780330000000 
The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,43.28,Hachette UK,400,General,9781470000000 
"Rogue, Prisoner, Princess (Of Crowns and GloryBook 2)",Morgan Rice,14.96,Morgan Rice,250,"Juvenile Fiction , Science Fiction",9781630000000 
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,53.11,Abrams,224,General,9781680000000 
Auberon,James S. A. Corey,11.78,Hachette UK,112,"Fiction , Science Fiction , Action , Adventure",9780360000000 
Watching (The Making of Riley PaigeBook 1),Blake Pierce,0,Blake Pierce,250,"Fiction , Mystery , Detective , General",9781640000000 
The Mysterious Affair at Styles (Poirot),Agatha Christie,19.28,HarperCollins UK,208,"Fiction , Mystery , Detective , Cozy , General",9780010000000 
15 Delicious Slow Cooker Recipes,Sallie Stone,0,BookRix,18,General,9783740000000 
Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,35.44,Harper Collins,336,"Fiction , Mystery , Detective , Police Procedural",9780060000000 
"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night's Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.17,e-artnow,1424,"Poetry , General",9788030000000 
Dark Age,Pierce Brown,71.63,Del Rey,800,General,9780430000000 
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,576,"Self-Help , Self-Management , General",9781470000000 
Marvel Universe Vs. The Punisher: Volume 1,Jonathan Maberry,27.53,Marvel Entertainment,112,General,9780790000000 
It,Stephen King,19.65,Simon and Schuster,1168,"Fiction , Horror",9781500000000 
War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,0,Simon and Schuster,1400,"Fiction , General",9781480000000 
A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,18.72,Blake Pierce,250,"Fiction , Thrillers , Suspense",9781640000000 
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,0,Simon and Schuster,320,General,9781480000000 
Find Me: A Novel,Andre Aciman,46.88,"Farrar, Straus and Giroux",272,"Fiction , LGBT , Gay",9780370000000 
Dark Matter: A Novel,Blake Crouch,28.61,Broadway Books,368,"Fiction , Thrillers , Suspense",9781100000000 
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,576,"Self-Help , Emotions",9781470000000 
"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,27.53,Wizards of the Coast,352,General,9780790000000 
Strawberry Shortcake Murder,Joanne Fluke,43.36,Kensington Books,304,"Fiction , Mystery , Detective , Amateur Sleuth",9781620000000 
Spider-Man: Anti-Venom,Dan Slott,19.65,Marvel Entertainment,96,General,9780790000000 
Battle Sight Zero,Gerald Seymour,94.48,Hachette UK,448,General,9781470000000 
The Neatest Little Guide to Stock Market Investing: Fifth Edition,Jason Kelly,62.1,Penguin,336,"Business , Economics , Reference",9781100000000 
Kingdom Of Strangers,Zoe Ferraris,39.34,Hachette UK,368,General,9780750000000 
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,33.38,Tim Duggan Books,128,General,9780800000000 
In Dark Company: A Kate Burkholder Short Story,Linda Castillo,6.64,Minotaur Books,60,General,9781250000000 
The Infinite Game,Simon Sinek,71.63,Penguin,272,"Business , Economics , Motivational",9780740000000 
Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,88.69,Harper Collins,336,"Business , Economics , Economics , Theory",9780060000000 
Killer Blonde,Laura Levine,73.67,Kensington Books,288,"Fiction , Mystery , Detective , Cozy , General",9780760000000 
Total Control,David Baldacci,41.82,Pan Macmillan,624,"Fiction , Thrillers , Suspense",9780330000000 
Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,35.44,Harper Collins,336,General,9780060000000 
Kiss the Girls and Make Them Cry,Mary Higgins Clark,42.26,Simon and Schuster,400,General,9781470000000 
"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial",Tony Robbins,55.09,Simon and Schuster,544,"Self-Help , Personal Growth , Success",9780740000000 
The Eye of the World: Book One of 'The Wheel of Time',Robert Jordan,36.79,Tor Books,688,General,9781430000000 
"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,86.45,Berrett-Koehler Publishers,288,"Self-Help , Personal Growth , Success",9781610000000 
15 Delicious Slow Cooker Recipes,Sallie Stone,0,BookRix,18,"Cooking , General",9783740000000 
Selling 101: What Every Successful Sales Professional Needs to Know,Zig Ziglar,29.55,HarperCollins Leadership,112,General,9781420000000 
Legacy,Shannon Messenger,43.28,Simon and Schuster,816,General,9781530000000 
Letting Go,David R. Hawkins,74.78,"Hay House, Inc",176,General,9781400000000 
